_id,Property Name,Reported,Tax Parcel,Property Type,Address,Year Built
1866,,Not Compliant,2100472000,Apartment,1047  COMMONWEALTH AV,
1867,,Not Compliant,2100220000,Apartment,900  BEACON ST,
1868,,Not Compliant,1801935000,Apartment Property / APT 100+ UNITS,80-20 FAIRLAWN AV,
1869,,Not Compliant,1801980000,APT 100+ UNITS,785 -795 CUMMINS HW,
1870,,Not Compliant,1903232000,APT 100+ UNITS,84 166 FAWNDALE RD,
2472,,Not Compliant,2101288000,APT 100+ UNITS,"11 CAMELOT CT , 02135",
1871,,Not Compliant,1801104000,APT 31-99 UNITS,876 886 CUMMINS HW,
1872,,Not Compliant,1600428000,APT 31-99 UNITS,5 15 VICTORY RD,
1873,,Not Compliant,401400000,APT 31-99 UNITS,24 HAVILAND ST,
1874,,Not Compliant,1301625000,APT 31-99 UNITS,200 HANCOCK ST,
1875,,Not Compliant,603924002,APT 31-99 UNITS,902 E SECOND ST,
1876,,Not Compliant,1905063000,APT 31-99 UNITS,253 261 HYDE PARK AV,
1877,,Not Compliant,2100026000,APT 31-99 UNITS,219 223 PARK DR,
1878,,Not Compliant,401515000,APT 31-99 UNITS,52 WESTLAND AV,
1879,,Not Compliant,2100043000,APT 31-99 UNITS,133 PETERBOROUGH ST,
1880,,Not Compliant,401517000,APT 31-99 UNITS,38 WESTLAND AV,
1881,,Not Compliant,203512200,APT 31-99 UNITS,    SIXTH ST,
1882,,Not Compliant,1704048010,APT 31-99 UNITS,40 RIVER ST,
1883,,Not Compliant,1806881000,APT 31-99 UNITS,145 NAVARRE ST,
1884,,Not Compliant,402245045,APT 31-99 UNITS,316 HUNTINGTON  AV,
1885,,Not Compliant,2010637001,APT 31-99 UNITS,1459 1461 VFW PW,
1886,,Not Compliant,504272000,APT 31-99 UNITS,111 PARK DR,
1887,,Not Compliant,504241000,APT 31-99 UNITS,11 QUEENSBERRY ST,
1888,,Not Compliant,601166030,APT 31-99 UNITS,63 MELCHER  ST,
1889,,Not Compliant,401409000,APT 31-99 UNITS,41 43 EDGERLY RD,
1890,,Not Compliant,504185000,APT 31-99 UNITS,1197 BOYLSTON ST,
1891,,Not Compliant,504186000,APT 31-99 UNITS,1203 BOYLSTON ST,
1892,,Not Compliant,504187000,APT 31-99 UNITS,1209 BOYLSTON ST,
1893,,Not Compliant,2102312000,APT 31-99 UNITS,1850 1848 COMMONWEALTH AV,
1894,,Not Compliant,2101546000,APT 31-99 UNITS,11 ROYCE RD,
1895,,Not Compliant,2101276000,APT 31-99 UNITS,91 99 GORDON ST,
1896,,Not Compliant,2100653000,APT 31-99 UNITS,43 55 LINDEN ST,
1897,,Not Compliant,1103286000,APT 31-99 UNITS,218 230 SOUTH ST,
1898,,Not Compliant,2101825000,APT 31-99 UNITS,159 161 KELTON ST,
1899,,Not Compliant,2100611000,APT 31-99 UNITS,31 35 GARDNER ST,
1900,,Not Compliant,401673000,APT 31-99 UNITS,121 ST STEPHEN ST,
1901,,Not Compliant,401721000,APT 31-99 UNITS,60 FENWAY ST,
1902,,Not Compliant,601267000,APT 31-99 UNITS,154 158 W SECOND ST,
1903,,Not Compliant,2101578000,APT 31-99 UNITS,1162 A1158 COMMONWEALTH AV,
1904,,Not Compliant,2102098000,APT 31-99 UNITS,23 27 LANARK RD,
1905,,Not Compliant,2102524000,APT 31-99 UNITS,5 3 LOTHIAN RD,
1906,,Not Compliant,1001248000,APT 31-99 UNITS,25 SUNSET ST,
1907,,Not Compliant,2101596000,APT 31-99 UNITS,1086 COMMONWEALTH AV,
1908,,Not Compliant,602877000,APT 7-30 UNITS,11 DORCHESTER ST,
1909,,Not Compliant,502640000,APT 7-30 UNITS,274 BEACON ST,
1910,,Not Compliant,502532000,APT 7-30 UNITS,101 CHESTNUT ST,
1911,,Not Compliant,2102548001,APT 7-30 UNITS,150 CHESTNUT HILL AV,
1912,,Not Compliant,2100540000,APT 7-30 UNITS,80 GARDNER ST,
1913,,Not Compliant,1901984000,APT 7-30 UNITS,16 14 LAKEVILLE RD,
1914,,Not Compliant,502294000,APT 7-30 UNITS,81 BEACON ST,
1915,,Not Compliant,501398002,APT 7-30 UNITS,180 NEWBURY ST,
2476,,Not Compliant,1812142000,APT 7-30 UNITS,1582 RIVER ST,
1916,,Not Compliant,2101072000,APT SUBSIDIZED HOUSING,10 LONG AV,
1917,,Not Compliant,2101071000,APT SUBSIDIZED HOUSING,114 GLENVILLE AV,
1918,,Not Compliant,1301082000,APT SUBSIDIZED HOUSING,12 ALEXANDER ST,
1919,,Not Compliant,402378000,APT SUBSIDIZED HOUSING,11 7 BLACKWOOD ST,
1920,,Not Compliant,304452000,APT SUBSIDIZED HOUSING,    PING ON ST/10 12 Oxford ,
1921,,Not Compliant,1202982000,APT SUBSIDIZED HOUSING,14 4 ABBOTSFORD ST,
1922,,Not Compliant,1811578000,APT SUBSIDIZED HOUSING,1332 1336 RIVER ST,
1923,,Not Compliant,402366000,APT SUBSIDIZED HOUSING,4 24 ALBEMARLE ST,
1924,,Not Compliant,1102906000,APT SUBSIDIZED HOUSING,107 137 FOREST HILLS ST,
1925,,Not Compliant,1200500000,APT SUBSIDIZED HOUSING,55 73 KENSINGTON PK,
1926,,Not Compliant,305478010,APT SUBSIDIZED HOUSING,    PINE ST,
1927,,Not Compliant,1402922010,APT SUBSIDIZED HOUSING,112 114 BERNARD ST,
1928,,Not Compliant,2101070000,APT SUBSIDIZED HOUSING,118 GLENVILLE AV,
1929,,Not Compliant,1101913000,APT SUBSIDIZED HOUSING,241 WALNUT AV,
1930,,Not Compliant,1202424000,APT SUBSIDIZED HOUSING,1 4 MAPLE CT,
1931,,Not Compliant,203515525,APT SUBSIDIZED HOUSING,    NINTH ST,
1936,,Not Compliant,203510050,BOST REDEVELOP AUTH,FIFTH AV,
1937,,Not Compliant,800900020,BOST REDEVELOP AUTH,    MASSACHUSETTS AV,
1938,,Not Compliant,800900150,BOST REDEVELOP AUTH,    ALBANY ST,
1939,,Not Compliant,306560000,BOSTON HOUSING AUTH,32 60 PAUL SULLIVAN WY,
1940,,Not Compliant,202565000,BOSTON HOUSING AUTH,    RUTHERFORD AV,
1941,,Not Compliant,1400082000,CHARITABLE ORGANIZTN,    185 COLUMBIA RD,
1942,,Not Compliant,300441001,CHARITABLE ORGANIZTN,317 325 CAMBRIDGE ST,
1943,,Not Compliant,1000599000,CHARITABLE ORGANIZTN,35 39 PONTIAC ST,
1944,,Not Compliant,401483000,CHARITABLE ORGANIZTN,251 A-261 HUNTINGTON AV,
1945,,Not Compliant,1102897010,CHARITABLE ORGANIZTN,3368 WASHINGTON ST,
1946,,Not Compliant,2202497000,"CHURCH, SYNAGOGUE",    LEICESTER ST,
1947,,Not Compliant,2202496000,"CHURCH, SYNAGOGUE",    ARLINGTON ST,
1948,,Not Compliant,2201177000,"CHURCH, SYNAGOGUE",    HOLTON ST,
1949,,Not Compliant,1700698000,"CHURCH, SYNAGOGUE",44 MOULTRIE ST,
1950,,Not Compliant,401334000,"CHURCH, SYNAGOGUE",14 18 BELVIDERE ST,
1951,,Not Compliant,306500000,"CHURCH, SYNAGOGUE",553 HARRISON AV,
1952,,Not Compliant,1201580000,"CHURCH, SYNAGOGUE",    WALNUT AV,
1953,,Not Compliant,401185000,"CHURCH, SYNAGOGUE",204 216 MASSACHUSETTS AV,
1954,,Not Compliant,401162000,"CHURCH, SYNAGOGUE",93 105 FALMOUTH ST,
1955,,Not Compliant,401150000,"CHURCH, SYNAGOGUE",101 -111 BELVIDERE ST,
1956,,Not Compliant,801715000,"CHURCH, SYNAGOGUE",20 REED ST,
1957,,Not Compliant,1100843000,CITY OF BOSTON,279 HIGHLAND ST,
1959,,Not Compliant,801022030,COLD STORAGE WAREHOUSE,88 80 NEWMARKET SQ,
1960,,Not Compliant,402236000,COLLEGE,360 -402 HUNTINGTON AV,
1961,,Not Compliant,305253000,COLLEGE,116 HARRISON AV,
