_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Geospatial Address,Geospatial Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes
2791,104225,304789000,,30-42 temple pl,30-42 temple pl,,boston,2111,10 winter pl,boston,2111,35180,,Adult Education,Adult Education (35180.0),49.9,,1753935.3,943948.6,50133.11,237393.5,48698.903,,,,,,,,,,,,,,,,,,,,,,2.49,in compliance,98832.013,2025,No,No,No,No,No,No,,
455,100648,401861000,beth israel deaconess,364-370 brookline ave,364-370 brookline ave,,boston,2115,364  370 brookline av,boston,2115,396984,316272,Ambulatory Surgical Center,"Parking (316272.0),Ambulatory Surgical Center (396984.0)",285.6,,113390213.7,,,8067575,1952353.15,,,,45094905.6,2818431.6,40281739.6,2565946.813,,,,,,,,,,,487002,36140.418,,,15.46,in compliance,7372871.981,2025,No,No,No,No,No,No,,
1028,101426,1901065000,brigham and womens hospital,640-644 centre st,640-644 centre st,,boston,2130,640  644 centre st,boston,2130,25551,,Ambulatory Surgical Center,Ambulatory Surgical Center (25551.0),106,,2709461.8,1309670,69556.574,410255.5,84159.813,,,,,,,,,,,,,,,,,,,,,,6.93,in compliance,153716.387,2030,No,No,Yes,Yes,No,No,,
2021,102981,2000078000,first national bank boston,29-39 corinth st,29-39 corinth st,,boston,2131,8 cohasset st,boston,2131,10620,,Bank Branch,Bank Branch (10620.0),33.5,86,355829.5,16513.8,877.048,99447.8,20400.722,,,,,,,,,,,,,,,,,,,,,,1.29,in compliance,21277.77,2030,No,No,No,No,No,No,,
1125,101689,2008806000,centre street holdings llc mass llc,1993 centre st,1993 centre st,,boston,2132,1991  2009 centre st,boston,2132,4342,0,Bank Branch,"Bank Branch (4342.0),Parking (7163.0)",43.1,99,187304.7,53745.2,2854.408,39144.1,8030.021,,,,,,,,,,,,,,,,,,,,,,7.83,in compliance,10884.429,2025,No,No,No,No,No,No,,
1604,102393,202170000,commonwealth of mass,250-300 new rutherford ave,250-300 new rutherford ave,,boston,2129,250  300 rutherford av,boston,2129,487235,,College/University,College/University (487235.0),70.8,,34476694.7,19089294.6,1013832.436,4509789,925138.115,,,,,,,,,,,,,,,,,,,,,,,in compliance,1938970.551,2025,I'm not sure,No,No,No,I'm not sure,I'm not sure,,
2944,104416,203504000,mgh institute of health,36 first ave,36 first ave,,boston,2129,100 first av,boston,2129,70077,,College/University,College/University (70077.0),68.2,,4777712.9,435050,23105.506,1272762,261094.397,,,,,,,,,,,,,,,,,,,,,,6.36,in compliance,284199.903,2025,No,No,Yes,Yes,No,No,,
4030,105995,300087000,,148 cambridge st,148 cambridge st,,boston,2114,144  154 cambridge st,boston,2114,32863,,College/University,College/University (32863.0),96.3,,3166166.4,1385569.9,73587.617,521863,107054.976,,,,,,,,,,,,,,,,,,,,,,14.33,in compliance,180642.593,2030,No,No,No,No,No,No,,
4031,105996,302782000,suffolk university,20 somerset st,20 somerset st,,boston,2114,20 somerset st,boston,2114,103599,,College/University,College/University (103599.0),133.2,,13794353.9,6189824.3,328741.569,2228760,457207.826,,,,,,,,,,,,,,,,,,,,,,7.88,in compliance,785949.395,2025,No,No,No,No,No,No,,
4287,106327,302802001,,8 ashburton pl,8 ashburton pl,,boston,2108,10 ashburton pl,boston,2108,149634,,College/University,College/University (149634.0),53.7,,8034325.9,607902.9,32285.723,2176560,446499.518,,,,,,,,,,,,,,,,,,,,,,8.13,in compliance,478785.241,2025,No,No,No,No,No,No,,
