_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Geospatial Address,Geospatial Address.1,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes,Percentage Electrification,Estimated Carbon Emissions Intensity (kg CO2e/sf),Log GSF,Log EUI,Log Total Site Energy,Log GHG Emissions,Log CEI,Log % Electrification
1013,101366,100534000.0,brandywyne village co,870-908a saratoga st,870-908a saratoga st,,boston,2128.0,870 908a saratoga st,boston,2128,385660.0,,Multifamily Housing,Multifamily Housing (385660.0),70.5,74.0,27200633.84,22441934.5,1191891.141,1394695.0,286107.732,,,,,,,,,,,,,,,,,,,,,,47.75,in compliance,1477998.873,2025.0,No,No,No,No,No,No,,,17.49557959657458,3.8323883031685937,12.862711431273596,4.255612709818223,17.11875083393589,14.206199617973079,1.3434881866994826,2.8619482545406565
1178,101752,100728000.0,cheverus school apts inc,10 moore st,10 moore st,,boston,2128.0,10 moore st,boston,2128,45216.0,,Multifamily Housing,Multifamily Housing (45216.0),50.9,70.0,2302929.834,1626178.4,86366.335,198344.5,40688.391,,,,,,,,,,,,,,,,,,,,,,34.52,in compliance,127054.726,2025.0,No,Yes,No,No,No,No,,,29.387833518986838,2.809950592710545,10.719206285484255,3.929862923556477,14.649692711122013,11.752373186010045,1.033166900525791,3.380580762810273
3029,104535,101082000.0,,720 bennington st,720 bennington st,,boston,2128.0,720 bennington st,boston,2128,23940.0,,Multifamily Housing,Multifamily Housing (23940.0),23.3,100.0,557979.572,,,89681.0,18397.16,,,,,,,,,,251988.0,18700.029,,,,,,,,,,,31.15,in compliance,37097.189,2030.0,No,No,No,No,No,No,,,54.84161777700349,1.5495901837928152,10.083305979111964,3.1484533605716547,13.232077631374315,10.521296477530901,0.43799049841893756,4.0044493542043575
1140,101708,102829000.0,chapman house associates lps mass lps,61 eutaw st,61 eutaw st,,boston,2128.0,61 eutaw st,boston,2128,33551.0,,Multifamily Housing,Multifamily Housing (33551.0),71.1,53.0,2386041.264,1838340.2,97634.248,160522.0,32929.483,,,,,,,,,,,,,,,,,,,,,,34.9,in compliance,130563.731,2030.0,No,No,No,No,No,No,,,22.955392706905002,3.8915004321778786,10.420821948214945,4.264087336809195,14.685146175706716,11.779616746689133,1.3587947984741873,3.133552885239669
2662,104054,103613000.0,,401 border st,401 border st,,boston,2128.0,401 border st,boston,2128,51488.0,,Multifamily Housing,Multifamily Housing (51488.0),55.1,65.0,2835791.202,1900106.5,100914.656,274233.5,56256.26,,,,,,,,,,,,,,,,,,,,,,23.74,in compliance,157170.916,2025.0,No,No,No,No,No,No,,,32.996993444547684,3.0525737259167185,10.84910404979211,4.009149716158869,14.85783153980529,11.965089129137631,1.1159850793455222,3.4964164495749386
2660,104052,103647000.0,,344-352 meridian st,344-352 meridian st,,boston,2128.0,344  352 meridian st,boston,2128,50000.0,,Multifamily Housing,Multifamily Housing (50000.0),66.9,70.0,3344770.108,2485683.1,132014.629,251784.0,51650.97,,,,,,,,,,,,,,,,,,,,,,45.26,in compliance,183665.599,2025.0,No,Yes,No,No,No,No,,,25.685615090410874,3.67331198,10.819778284410283,4.203198967134183,15.022908522127347,12.120871986382895,1.301093701972612,3.245931111088632
1839,102744,103894010.0,ebcdc inc,120-150 orleans st,120-150 orleans st,,boston,2128.0,120  150 orleans st,boston,2128,41716.0,,Multifamily Housing,Multifamily Housing (41716.0),70.9,25.0,2956081.048,2064000.0,109619.04,261454.0,53634.674,,,,,,,,,,,,,,,,,,,,,,33.54,in compliance,163253.714,2025.0,No,No,No,No,No,No,,,30.179154482370606,3.913455604564196,10.638640027241104,4.2612704335380815,14.899374978806971,12.00306079726274,1.3644207700216364,3.407151437121229
2250,103363,103916000.0,greenway apartments llc mass llc,172 maverick st,172 maverick st,,boston,2128.0,170  172 maverick st,boston,2128,38370.0,,Multifamily Housing,Multifamily Housing (38370.0),43.2,91.0,1658593.148,1065062.1,56565.448,173954.0,35684.924,,,,,,,,,,,,,,,,,,,,,,36.79,in compliance,92250.372,2030.0,No,Yes,No,No,No,No,,,35.78678362537164,2.4042317435496483,10.555031183240999,3.765840495250065,14.321480299795724,11.432261594414967,0.8772304111739703,3.5775786527700677
4126,106111,104164010.0,the porter 156 condominium trust,156-204 porter st,156-204 porter st,,boston,2128.0,156  204 porter st,boston,2128,198660.0,,Multifamily Housing,Multifamily Housing (198660.0),44.7,70.0,8874934.44,4797099.7,254773.965,1195145.0,245172.045,,,,,,,,,,,,,,,,,,,,,,26.7,in compliance,499946.01,2025.0,No,No,No,No,No,No,,,45.9497930865842,2.516591211114467,12.199350099769347,3.7999735016195233,15.998741506256216,13.122255391574068,0.9229052918047219,3.827549345779244
1661,102495,104372000.0,constitution apartments llc,917 bennington st,917 bennington st,,boston,2128.0,917 bennington st,boston,2128,47230.0,10000.0,Multifamily Housing,"Multifamily Housing (47230.0),Parking (10000.0)",31.7,99.0,1496606.96,576800.0,30633.848,269580.0,55301.641,,,,,,,,,,,,,,,,,,,,,,25.6,pending revisions,85935.489,2025.0,No,No,No,No,No,No,,,61.462188910306814,1.8195106711835698,10.762784562890163,3.456316680883235,14.218711077158808,11.361352165841954,0.5985676029517907,4.118422171270001
