BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address Zip Code,Parcel Address,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft2),Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),Net Electricity Usage (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Cooresponding Campus ID,Data Year,Electricity Emissions,Natural Gas Emissions,Fuel Oil #1 Emissions,Fuel Oil #2 Emissions,Fuel Oil #4 Emissions,Fuel Oil #5 & 6 Emissions,Diesel #2 Emissions,Propane Emissions,Kerosene Emissions,District Chilled Water Emissions,District Steam Emissions,Total GHG Emissions (MT CO2e),BERDO Property Type,Threshold 2025,Threshold 2026,Threshold 2027,Threshold 2028,Threshold 2029,Threshold 2030,Threshold 2031,Threshold 2032,Threshold 2033,Threshold 2034,Threshold 2035,Threshold 2036,Threshold 2037,Threshold 2038,Threshold 2039,Threshold 2040,Threshold 2041,Threshold 2042,Threshold 2043,Threshold 2044,Threshold 2045,Threshold 2046,Threshold 2047,Threshold 2048,Threshold 2049,Threshold 2050
100001,303060001,1 LOVEJOY WHARF BOSTON  REALTY LLC,160  170 N Washington St,2114,160 170 N Washington St,2114,236688,Office,"Office , Retail Store",68.3,16177367.5,4101525,12075842.5,0,,0,0,0,0,0,0,0,0,0,0,0,2022,1012.317877,217.8319928,0,0,0,0,0,0,0,0,0,1230,Office,5.3,5.3,5.3,5.3,5.3,3.2,3.2,3.2,3.2,3.2,2.4,2.4,2.4,2.4,2.4,1.6,1.6,1.6,1.6,1.6,0.8,0.8,0.8,0.8,0.8,0
100002,304794000,10 TEMPLE PLACE LP,2-24 Temple Pl,2111,24 2 Temple Pl,2111,135344,Multifamily Housing,"Personal Services Health/Beauty, Dry Cleaning, etc , Restaurant , Multifamily Housing , Medical Office , Supermarket/Grocery Store",61,8251242.7,5517394.8,2733847.9,0,,0,0,0,0,0,0,0,0,0,0,0,2022,229.1784695,293.0288378,0,0,0,0,0,0,0,0,0,522,Multifamily Housing,4.1,4.1,4.1,4.1,4.1,2.4,2.4,2.4,2.4,2.4,1.8,1.8,1.8,1.8,1.8,1.1,1.1,1.1,1.1,1.1,0.6,0.6,0.6,0.6,0.6,0
100003,602757045,10-20 CHANNEL CENTER,20 Channel Center St,2127,20 30 Channel Center St,2127,255383,Office,Office,36,9182640.8,0,9182640.5,0,,0,0,0,0,0,0,0,0,0,0,0,2022,769.7807531,0,0,0,0,0,0,0,0,0,0,770,Office,5.3,5.3,5.3,5.3,5.3,3.2,3.2,3.2,3.2,3.2,2.4,2.4,2.4,2.4,2.4,1.6,1.6,1.6,1.6,1.6,0.8,0.8,0.8,0.8,0.8,0
100005,304718000,10-24 SCHOOL STREET,24 School St,2108,12 Province St,2108,134789,Office,"Office , Data Center , Retail Store",55.5,7480044,613.8,3783686.2,0,,0,0,3695743.9,0,0,0,0,0,0,0,0,2022,317.1864141,0.032598918,0,0,0,0,0,0,0,0,245.397395,563,Office,5.3,5.3,5.3,5.3,5.3,3.2,3.2,3.2,3.2,3.2,2.4,2.4,2.4,2.4,2.4,1.6,1.6,1.6,1.6,1.6,0.8,0.8,0.8,0.8,0.8,0
100007,304408000,100 HIGH OWNER LLC,100 High St,2110,100 High St,2110,550326,Office,"Office , Data Center , Other - Restaurant/Bar N/A",52.6,28955904,0,28955903.9,0,,0,0,0,0,0,0,0,0,0,0,0,2022,2427.373424,0,0,0,0,0,0,0,0,0,0,2427,Office,5.3,5.3,5.3,5.3,5.3,3.2,3.2,3.2,3.2,3.2,2.4,2.4,2.4,2.4,2.4,1.6,1.6,1.6,1.6,1.6,0.8,0.8,0.8,0.8,0.8,0
100008,602671039,100 NORTHERN AVENUE LLC,90  110 Northern Ave,2210,90 110 Northern Ave,2210,572998,Office,"Restaurant , Office , Data Center",83.7,47964541.9,16261839.9,31702700.4,0,,0,0,0,0,0,0,0,0,0,0,0,2022,2657.637375,863.6663171,0,0,0,0,0,0,0,0,0,3521,Office,5.3,5.3,5.3,5.3,5.3,3.2,3.2,3.2,3.2,3.2,2.4,2.4,2.4,2.4,2.4,1.6,1.6,1.6,1.6,1.6,0.8,0.8,0.8,0.8,0.8,0
100009,304220000,100 SUMMER OWNER LLC,100 Summer St,2110,100 Summer St,2110,1113465,Office,"Office,Fast Food Restaurant",84.4,94006017.9,0,38052091.2,0,,0,0,55953938.3,0,0,0,0,0,0,0,0,2022,3189.906805,0,0,0,0,0,0,0,0,0,3715.341503,6905,Office,5.3,5.3,5.3,5.3,5.3,3.2,3.2,3.2,3.2,3.2,2.4,2.4,2.4,2.4,2.4,1.6,1.6,1.6,1.6,1.6,0.8,0.8,0.8,0.8,0.8,0
100011,306234010,1000 washington (boston),1000-1020 Washington St,2118,321 Harrison Ave,2118,274560,Office,Laboratory,46.3,12710230.2,0,11118343.2,0,,0,0,0,0,0,0,0,0,0,0,0,2021,947.1716572,0,0,0,0,0,0,0,0,0,0,947,Office,5.3,5.3,5.3,5.3,5.3,3.2,3.2,3.2,3.2,3.2,2.4,2.4,2.4,2.4,2.4,1.6,1.6,1.6,1.6,1.6,0.8,0.8,0.8,0.8,0.8,0
100013,1001625010,101 HUNTINGTON OWNER (DE)  LLC,101 S Huntington Ave,2199,105 S Huntington Ave,2199,205000,Multifamily Housing,"Multifamily Housing , Heated Swimming Pool",47.2,9682567.7,4877800,4804768.2,0,,0,0,0,0,0,0,0,0,0,0,0,2022,402.7837182,259.059958,0,0,0,0,0,0,0,0,0,662,Multifamily Housing,4.1,4.1,4.1,4.1,4.1,2.4,2.4,2.4,2.4,2.4,1.8,1.8,1.8,1.8,1.8,1.1,1.1,1.1,1.1,1.1,0.6,0.6,0.6,0.6,0.6,0
100014,301675000,101 MERRIMAC OWNER LLC,101 Merrimac St,2114,101 Merrimac St,2114,162664,Office,Office,47.6,7749001.7,414423.1,7334578.5,0,,0,0,0,0,0,0,0,0,0,0,0,2022,614.8577157,22.01001084,0,0,0,0,0,0,0,0,0,637,Office,5.3,5.3,5.3,5.3,5.3,3.2,3.2,3.2,3.2,3.2,2.4,2.4,2.4,2.4,2.4,1.6,1.6,1.6,1.6,1.6,0.8,0.8,0.8,0.8,0.8,0
