BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address Zip Code,Parcel Address,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft2),Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Cooresponding Campus ID,Data Year,Electricity Emissions,Natural Gas Emissions,Fuel Oil #1 Emissions,Fuel Oil #2 Emissions,Fuel Oil #4 Emissions,Fuel Oil #5 & 6 Emissions,Diesel #2 Emissions,Propane Emissions,Kerosene Emissions,District Chilled Water Emissions,District Steam Emissions,Electricity Emissions (MT CO2e),Natural Gas Emissions (MT CO2e),Fuel Oil #1 Emissions (MT CO2e),Fuel Oil #2 Emissions (MT CO2e),Fuel Oil #4 Emissions (MT CO2e),Fuel Oil #5 & #6 Emissions (MT CO2e),Diesel #2 Emissions (MT CO2e),Propane Emissions (MT CO2e),Kerosene Emissions (MT CO2e),District Chilled Water Emissions (MT CO2e),District Steam Emissions (MT CO2e),Total GHG Emissions (MT CO2e),BERDO Property Type
100001,303060001.0,1 LOVEJOY WHARF BOSTON  REALTY LLC,160  170 N Washington St,2114.0,160 170 N Washington St,2114.0,236688.0,Office,"Office , Retail Store",68.3,16177367.5,4101525.0,12075842.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,83.83,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,1012.3178767750001,217.83199274999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1230,Office
100002,304794000.0,10 TEMPLE PLACE LP,2-24 Temple Pl,2111.0,24 2 Temple Pl,2111.0,135344.0,Multifamily Housing,"Personal Services Health/Beauty, Dry Cleaning, etc , Restaurant , Multifamily Housing , Medical Office , Supermarket/Grocery Store",61.0,8251242.7,5517394.8,2733847.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,83.83,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,229.17846945699998,293.028837828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522,Multifamily Housing
100003,602757045.0,10-20 CHANNEL CENTER,20 Channel Center St,2127.0,20 30 Channel Center St,2127.0,255383.0,Office,Office,36.0,9182640.8,0.0,9182640.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,83.83,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,769.7807531149999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770,Office
100005,304718000.0,10-24 SCHOOL STREET,24 School St,2108.0,12 Province St,2108.0,134789.0,Office,"Office , Data Center , Retail Store",55.5,7480044.0,613.8,3783686.2,0.0,0.0,0.0,3695743.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,83.83,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,317.186414146,0.032598918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.39739496,563,Office
100007,304408000.0,100 HIGH OWNER LLC,100 High St,2110.0,100 High St,2110.0,550326.0,Office,"Office , Data Center , Other - Restaurant/Bar N/A",52.6,28955904.0,0.0,28955903.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,83.83,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,2427.3734239369996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427,Office
100008,602671039.0,100 NORTHERN AVENUE LLC,90  110 Northern Ave,2210.0,90 110 Northern Ave,2210.0,572998.0,Office,"Restaurant , Office , Data Center",83.7,47964541.9,16261839.9,31702700.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,83.83,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,2657.6373745319997,863.666317089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3521,Office
100009,304220000.0,100 SUMMER OWNER LLC,100 Summer St,2110.0,100 Summer St,2110.0,1113465.0,Office,"Office,Fast Food Restaurant",84.4,94006017.9,0.0,38052091.2,0.0,0.0,0.0,55953938.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,83.83,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,3189.906805296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3715.34150312,6905,Office
100011,306234010.0,1000 washington (boston),1000-1020 Washington St,2118.0,321 Harrison Ave,2118.0,274560.0,Office,Laboratory,46.3,12710230.2,0.0,11118343.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,85.19,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,947.1716572079999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947,Office
100013,1001625010.0,101 HUNTINGTON OWNER (DE)  LLC,101 S Huntington Ave,2199.0,105 S Huntington Ave,2199.0,205000.0,Multifamily Housing,"Multifamily Housing , Heated Swimming Pool",47.2,9682567.7,4877800.0,4804768.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,83.83,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,402.78371820600006,259.059958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662,Multifamily Housing
100014,301675000.0,101 MERRIMAC OWNER LLC,101 Merrimac St,2114.0,101 Merrimac St,2114.0,162664.0,Office,Office,47.6,7749001.7,414423.1,7334578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,83.83,53.11,73.5,74.21,75.29,75.35,74.21,61.71,75.2,66.4,66.4,614.857715655,22.010010841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637,Office
