Reporting ID,Data Year,MapLot,BEUDO Category,Primary Property Type - Self Selected,All Property Uses,Property GFA - Self Reported (ft2),Reported Residential Units,Owner,Owner Line 2,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2)
B1018,2015,38-1,Municipal,K-12 School,"K-12 School (N/A),Other - Public Services (N/A),Parking (N/A)",139381,,CAMBRIDGE CITY OF,,,,,,,,,,,,,,,,,,,,,,,,0,
B1019,2015,33-93,Municipal,K-12 School,K-12 School (127302.0),127302,,CAMBRIDGE CITY OF,KENNEDY SCHOOL,38,1331234.9,4542174,54681.6,5468163.4,,,,,,,,,,10010337.4,9722115,78.6,76.4,18459658.8,18092297.7,145,142.1,638.7,5
B1020,2015,99-81,Municipal,K-12 School,K-12 School (74806.0),74806,,CAMBRIDGE CITY OF,SCHOOL AND RECREATION,54,519170,1771408.3,46145.3,4614533.1,,,,,,,,,,6385941.4,6207153,85.4,83,9805203.1,9606030.4,131.1,128.4,380.9,5.1
B1021,2015,118-30,Municipal,Office,Office (21808.0),21808,,CAMBRIDGE CITY OF,,37,377876.1,1289313.3,8209.5,820954.5,,,,,,,,,,2110267.8,2085591.7,96.8,95.6,4472079.5,4430967.6,205.1,203.2,142.5,6.5
B1022,2015,108-18,Municipal,Office,Office (31240.0),31240,,CAMBRIDGE CITY OF,CITY HALL ANNEX #2,86,212144.5,723837,10143.4,1014337.8,,,,,,,,,,1738174.8,1695721.8,55.6,54.3,3091798.3,3030634.1,99,97,109.4,3.5
B1023,2015,108-15,Municipal,Office,Office (33909.0),33909,,CAMBRIDGE CITY OF,CITY HALL ANNEX,45,611826.6,2087552.4,,,,,,,,,,,22716.3,2165060.3,2115027.1,63.8,62.4,5922654.7,5786338.1,174.7,170.6,160.1,4.7
B1024,2015,105-61,Municipal,Office,Office (24263.0),24263,,CAMBRIDGE CITY OF,POLICE DEPT,76,240482.2,820525.5,6936.1,693605.5,,,,,,,,,,1514131,1497652.1,62.4,61.7,3025757.2,2982599.5,124.7,122.9,99.8,4.1
B1025,2015,20-71,Municipal,Fire Station,Fire Station (17093.0),17093,,CAMBRIDGE CITY OF,FIRE DEPT,,151811.6,517981.3,11054.2,1105421.3,,,,,,,,,,1623402.5,1596016.5,95,93.4,2611039.9,2555663.6,152.8,149.5,98.4,5.8
B1026,2015,228-1,Municipal,Fire Station,"Office (264.0),Fire Station (15924.0)",16188,,CAMBRIDGE CITY OF,FIRE STATION,,81224.5,277138.1,14311.2,1431121.5,,,,,,,,,,1708259.6,1664380.6,105.5,102.8,2278664.2,2224434.3,140.8,137.4,97.3,6
B1027,2015,126-174,Municipal,Other - Recreation,Other - Recreation (10537.0),10537,,CAMBRIDGE CITY OF,,,43032.3,146826.1,6444.6,644464.5,,,,,,,,,,791290.6,777314,75.1,73.8,1087800.8,1069739.1,103.2,101.5,45.5,4.3
