Year,Assembly,College/University,Education,Food Sales & Service,Healthcare,Lodging,Manufacturing/Industrial,Multifamily Housing,Office,Retail,Services,Storage,Technology/Science,Property Type Not Recognized in Database
2025,7.8,10.2,3.9,17.4,15.4,5.8,23.9,4.1,5.3,7.1,7.5,5.4,19.2,0
2026,7.8,10.2,3.9,17.4,15.4,5.8,23.9,4.1,5.3,7.1,7.5,5.4,19.2,0
2027,7.8,10.2,3.9,17.4,15.4,5.8,23.9,4.1,5.3,7.1,7.5,5.4,19.2,0
2028,7.8,10.2,3.9,17.4,15.4,5.8,23.9,4.1,5.3,7.1,7.5,5.4,19.2,0
2029,7.8,10.2,3.9,17.4,15.4,5.8,23.9,4.1,5.3,7.1,7.5,5.4,19.2,0
2030,4.6,5.3,2.4,10.9,10,3.7,15.3,2.4,3.2,3.4,4.5,2.8,11.1,0
2031,4.6,5.3,2.4,10.9,10,3.7,15.3,2.4,3.2,3.4,4.5,2.8,11.1,0
2032,4.6,5.3,2.4,10.9,10,3.7,15.3,2.4,3.2,3.4,4.5,2.8,11.1,0
2033,4.6,5.3,2.4,10.9,10,3.7,15.3,2.4,3.2,3.4,4.5,2.8,11.1,0
2034,4.6,5.3,2.4,10.9,10,3.7,15.3,2.4,3.2,3.4,4.5,2.8,11.1,0
2035,3.3,3.8,1.8,8,7.4,2.7,10.9,1.8,2.4,2.4,3.3,1.8,7.8,0
2036,3.3,3.8,1.8,8,7.4,2.7,10.9,1.8,2.4,2.4,3.3,1.8,7.8,0
2037,3.3,3.8,1.8,8,7.4,2.7,10.9,1.8,2.4,2.4,3.3,1.8,7.8,0
2038,3.3,3.8,1.8,8,7.4,2.7,10.9,1.8,2.4,2.4,3.3,1.8,7.8,0
2039,3.3,3.8,1.8,8,7.4,2.7,10.9,1.8,2.4,2.4,3.3,1.8,7.8,0
2040,2.1,2.5,1.2,5.4,4.9,1.8,6.7,1.1,1.6,1.5,2.2,1,5.1,0
2041,2.1,2.5,1.2,5.4,4.9,1.8,6.7,1.1,1.6,1.5,2.2,1,5.1,0
2042,2.1,2.5,1.2,5.4,4.9,1.8,6.7,1.1,1.6,1.5,2.2,1,5.1,0
2043,2.1,2.5,1.2,5.4,4.9,1.8,6.7,1.1,1.6,1.5,2.2,1,5.1,0
2044,2.1,2.5,1.2,5.4,4.9,1.8,6.7,1.1,1.6,1.5,2.2,1,5.1,0
2045,1.1,1.2,0.6,2.7,2.4,0.9,3.2,0.6,0.8,0.7,1.1,0.4,2.5,0
2046,1.1,1.2,0.6,2.7,2.4,0.9,3.2,0.6,0.8,0.7,1.1,0.4,2.5,0
2047,1.1,1.2,0.6,2.7,2.4,0.9,3.2,0.6,0.8,0.7,1.1,0.4,2.5,0
2048,1.1,1.2,0.6,2.7,2.4,0.9,3.2,0.6,0.8,0.7,1.1,0.4,2.5,0
2049,1.1,1.2,0.6,2.7,2.4,0.9,3.2,0.6,0.8,0.7,1.1,0.4,2.5,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
