_id,BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Site EUI (Energy Use Intensity kBtu/ft2),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft2),Compliance Status,Estimated Total GHG Emissions (kgCO2e),First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (,Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes,Log GSF,Log EUI,Log Total Site Energy,Log GHG Emissions,Cluster_simple,Cluster_complex,PCA_simple_1,PCA_simple_2,PCA_complex_1,PCA_complex_2,Cluster_2,Cluster_8
2,100002,304794000.0,10 temple place lp,2-24 temple pl,boston,2111.0,24  2 temple pl,boston,2111.0,135344.0,,Multifamily Housing,"Personal Services (Health/Beauty, Dry Cleaning, etc) (1129.0),Restaurant (1552.0),Multifamily Housing (127684.0),Medical Office (2145.0),Supermarket/Grocery Store (2834.0)",55.6,,7523053.3,4848580.8,257508.126,783843.1,160797.574,,,,,,,,,,,,,,,,,,,,,,39.02,in compliance,418305.7,2025.0,No,No,No,No,No,No,,,11.815574964543796,4.018183201256536,15.833482637456779,12.94396778392124,1,1,2.1122198059813053,-0.35643461471976745,2.1122198059813053,-0.35643461471976745,1,1
9,100013,1001625010.0,101 huntington owner (de)  llc,101 s huntington ave,boston,2199.0,105 s huntington av,boston,2199.0,204050.0,68250.0,Multifamily Housing,"Multifamily Housing (202450.0),Electric Vehicle Charging Station (0.0),Swimming Pool (0.0),Parking (68250.0),Other (1600.0)",33.2,100.0,6766543.1,4094421.7,217454.736,783154.0,160656.212,,,,,,,,,,,,,,,,,,,,,,16.64,pending revisions,378110.948,2025.0,No,No,No,No,No,No,,,12.226120340833951,3.502549875922443,15.727500894093426,12.842942944762658,1,2,2.031463944282848,-1.609999998457158,2.031463944282848,-1.609999998457158,1,2
16,100025,2100753000.0,1139 commonwealth llc mass llc,1139 commonwealth ave,boston,2134.0,1139 commonwealth av,boston,2134.0,23830.0,,Multifamily Housing,Multifamily Housing (23830.0),73.7,95.0,1756201.8,1567092.5,83228.283,55424.7,11369.823,,,,,,,,,,,,,,,,,,,,,,31.19,in compliance,94598.106,2030.0,No,No,No,No,No,No,,,10.078700570092789,4.300002799195291,14.37866396684772,11.457392733697894,0,0,-1.0776162157574498,0.9915351982622796,-1.0776162157574498,0.9915351982622796,0,0
22,100031,1101208030.0,125 amory leasehold condominium association,125 amory st,boston,2119.0,125 amory st,boston,2119.0,113806.0,,Multifamily Housing,Multifamily Housing (113806.0),96.7,6.0,11002146.5,3211730.0,170574.98,2283240.0,468383.854,,,,,,,,,,,,,,,,,,,,,,58.1,in compliance,638958.834,2025.0,No,No,No,No,No,No,,,11.642250523361831,4.571613402459248,16.213600948089656,13.36759530874924,1,1,2.800860096201872,0.8746588317467493,2.800860096201872,0.8746588317467493,1,1
25,100037,602642000.0,133 seaport residential condominium trust,131-153 seaport blvd,boston,2210.0,131  149 seaport bl,boston,2210.0,296552.0,,Multifamily Housing,"Multifamily Housing (253114.0),Retail Store (43438.0)",51.6,,15314168.2,8309593.0,441322.484,2052924.0,421136.829,,,,,,,,,,,,,,,,,,,,,,,in compliance,862459.313,2025.0,I'm not sure,No,No,No,I'm not sure,I'm not sure,,,12.599977861469387,3.9435216724875173,16.54428898400876,13.667543253441622,1,2,3.6508103120150346,-0.8556139561750504,3.6508103120150346,-0.8556139561750504,1,2
26,100038,602642100.0,133 seaport residential condominium trust,133 seaport bl,boston,2210.0,133 seaport bl,boston,2210.0,384094.0,,Multifamily Housing,"Multifamily Housing (340656.0),Retail Store (43438.0)",40.6,,15602252.2,7414254.9,393771.078,2399765.0,492287.792,,,,,,,,,,,,,,,,,,,,,,,in compliance,886058.87,2025.0,No,No,No,No,No,No,,,12.858642593279939,3.703768066607687,16.562925833594033,13.694538672075126,1,2,3.761825164826538,-1.4678452416145278,3.761825164826538,-1.4678452416145278,1,2
27,100039,502721000.0,133-135 marlborough street,133 marlborough st,boston,2116.0,133  135 marlborough st,boston,2116.0,22214.0,,Multifamily Housing,Multifamily Housing (22214.0),66.8,86.0,1484599.0,1219200.0,64751.712,77784.0,15956.61,,,,,,,,,,,,,,,,,,,,,,10.43,in compliance,80708.322,2030.0,I`m not sure,No,No,No,I`m not sure,I`m not sure,,,10.008477999727065,4.2017030805426,14.210655260083247,11.298596971617842,0,0,-1.401374297793557,0.8184852992150055,-1.401374297793557,0.8184852992150055,0,0
32,100044,600030000.0,,14  16 w broadway,boston,2127.0,14  16 w broadway,boston,2127.0,68784.0,14110.0,Multifamily Housing,"Multifamily Housing (68784.0),Parking (14110.0)",90.7,9.0,6237054.9,3328737.9,176789.27,852378.9,174857.008,,,,,,,,,,,,,,,,,,,,,,26.25,in compliance,351646.278,2025.0,No,No,No,No,No,No,,,11.138726438736063,4.507557357121091,15.646018657778322,12.770381057292264,1,5,1.5911670516072833,0.9606589695192541,1.5911670516072833,0.9606589695192541,1,5
33,100045,1000003000.0,1457 tremont street llc,1455-1459 tremont st #,boston,2120.0,1457 tremont st,boston,2120.0,38208.0,763.0,Multifamily Housing,"Multifamily Housing (36454.0),Bank Branch (1754.0),Parking (763.0)",28.1,100.0,1074258.4,491100.0,26082.321,170914.0,35061.298,,,,,,,,,,,,,,,,,,,,,,21.35,in compliance,61143.619,2025.0,No,No,No,No,No,No,,,10.550800196752274,3.3357695763397,13.88714112101556,11.020980785711366,0,3,-1.8197907126846224,-1.2192611107392473,-1.8197907126846224,-1.2192611107392473,0,3
34,100046,1000517000.0,1480 tremont realty trust,1486 tremont st,boston,2120.0,1486 tremont st,boston,2120.0,75370.0,0.0,Multifamily Housing,"Multifamily Housing (75370.0),Parking (23121.0)",51.0,92.0,3845621.8,2170957.6,115299.558,490816.0,100685.994,,,,,,,,,,,,,,,,,,,,,,30.2,in compliance,215985.552,2025.0,No,No,No,No,No,No,,,11.230164596837515,3.9318256327243257,15.16244586436213,12.282966795540252,1,4,0.7172675960752621,-0.2780845585681116,0.7172675960752621,-0.2780845585681116,1,4
