Reporting ID,Data Year,MapLot,BEUDO Category,Primary Property Type - Self Selected,All Property Uses,Property GFA - Self Reported (ft2),Reported Residential Units,Owner,Owner Line 2,ENERGY STAR Score,Electricity Usage (kBtu),Natural Gas Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Diesel 2 Usage (kBtu),Kerosene Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Electricity Usage - Generated From Onsite Renewable Systems (kWh),Electricity Usage - Generated From Onsite Renewable Systems (kBtu),Net Electricity Usage (kBtu),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2)
B1018,2015,38-1,Municipal,K-12 School,"K-12 School (N/A),Other - Public Services (N/A),Parking (N/A)",139381,,CAMBRIDGE CITY OF,,,,,,,,,,,,,,0,0,,,,,,,,,0,
B1019,2015,33-93,Municipal,K-12 School,K-12 School (127302.0),127302,,CAMBRIDGE CITY OF,KENNEDY SCHOOL,38,4542174,5468163.4,,,,,,,,,,0,4542174,10010337.4,9722115,78.6,76.4,18459658.8,18092297.7,145,142.1,638.7,5
B1020,2015,99-81,Municipal,K-12 School,K-12 School (74806.0),74806,,CAMBRIDGE CITY OF,SCHOOL AND RECREATION,54,1771408.3,4614533.1,,,,,,,,,,0,1771408.3,6385941.4,6207153,85.4,83,9805203.1,9606030.4,131.1,128.4,380.9,5.1
B1021,2015,118-30,Municipal,Office,Office (21808.0),21808,,CAMBRIDGE CITY OF,,37,1289313.3,820954.5,,,,,,,,,,0,1289313.3,2110267.8,2085591.7,96.8,95.6,4472079.5,4430967.6,205.1,203.2,142.5,6.5
B1022,2015,108-18,Municipal,Office,Office (31240.0),31240,,CAMBRIDGE CITY OF,CITY HALL ANNEX #2,86,723837,1014337.8,,,,,,,,,,0,723837,1738174.8,1695721.8,55.6,54.3,3091798.3,3030634.1,99,97,109.4,3.5
B1023,2015,108-15,Municipal,Office,Office (33909.0),33909,,CAMBRIDGE CITY OF,CITY HALL ANNEX,45,2087552.4,,,,,,,,,,22716.3,77511.19588,2010041.204,2165060.3,2115027.1,63.8,62.4,5922654.7,5786338.1,174.7,170.6,160.1,4.7
B1024,2015,105-61,Municipal,Office,Office (24263.0),24263,,CAMBRIDGE CITY OF,POLICE DEPT,76,820525.5,693605.5,,,,,,,,,,0,820525.5,1514131,1497652.1,62.4,61.7,3025757.2,2982599.5,124.7,122.9,99.8,4.1
B1025,2015,20-71,Municipal,Fire Station,Fire Station (17093.0),17093,,CAMBRIDGE CITY OF,FIRE DEPT,,517981.3,1105421.3,,,,,,,,,,0,517981.3,1623402.5,1596016.5,95,93.4,2611039.9,2555663.6,152.8,149.5,98.4,5.8
B1026,2015,228-1,Municipal,Fire Station,"Office (264.0),Fire Station (15924.0)",16188,,CAMBRIDGE CITY OF,FIRE STATION,,277138.1,1431121.5,,,,,,,,,,0,277138.1,1708259.6,1664380.6,105.5,102.8,2278664.2,2224434.3,140.8,137.4,97.3,6
B1027,2015,126-174,Municipal,Other - Recreation,Other - Recreation (10537.0),10537,,CAMBRIDGE CITY OF,,,146826.1,644464.5,,,,,,,,,,0,146826.1,791290.6,777314,75.1,73.8,1087800.8,1069739.1,103.2,101.5,45.5,4.3
B1028,2015,86-105,Municipal,K-12 School,K-12 School (58323.0),58323,,CAMBRIDGE CITY OF,SCHOOL DEPT,54,1236268.4,2861586.5,,,,,,,,,,0,1236268.4,4097854.9,4020273.8,70.3,68.9,6466217.5,6384087.6,110.9,109.5,246.8,4.2
B1029,2015,104-109,Municipal,K-12 School,K-12 School (58529.0),58529,,CAMBRIDGE CITY OF,SCH0OL DEPT,70,843192.2,76179.2,,2906970.5,,,,,,,,0,843192.2,3826341.8,3775066.3,65.4,64.5,5376966.4,5324509.4,91.9,91,284.4,4.9
B1030,2015,118-33,Municipal,Office,Office (59140.0),59140,,CAMBRIDGE CITY OF,CITY HALL,,2233847,1934021.2,,,,,,,,,,0,2233847,4167868.3,4119808.7,70.5,69.7,8285494,8209281.1,140.1,138.8,274,4.6
B1031,2015,105-61,Municipal,Office,Office (34055.0),58318,,CAMBRIDGE CITY OF,POLICE DEPT,,765451.3,694405.6,,,,,,,,,,0,765451.3,1459856.9,1458156.6,42.9,42.8,2872389.5,2870604.2,84.3,84.3,95.6,2.8
B1032,2015,266-34,Municipal,Parking,Parking (8792.0),8792,,CAMBRIDGE CITY OF,,,484982.9,1186564.1,,,,,,,,,,0,484982.9,1671547,1605655.4,190.1,182.6,2603844.4,2528871.7,296.2,287.6,100.2,11.4
B1033,2015,85-1,Municipal,Office,Office (12550.0),12550,,CITY OF CAMBRIDGE,,100,,427975.6,,,,,,,,,,0,0,427975.6,422688.2,34.1,33.7,449374.4,443822.6,35.8,35.4,22.7,1.8
B1034,2015,"137-39, 138-33",Municipal,K-12 School,K-12 School (403393.0),403393,,CAMBRIDGE CITY OF,,72,10405158.1,12593163.5,,,,,,,,,37904.1,129334.0958,10275824,23127650.3,22920458.7,57.3,56.8,42486593.1,42269146.3,105.3,104.8,1466.7,3.6
B1036,2015,122-199,Municipal,K-12 School,"K-12 School (152065.0),Parking (10000.0)",152065,,CAMBRIDGE CITY OF,,100,1998662.7,107111.8,,,,,,,,,,0,1998662.7,2105774.5,2105774.5,13.8,13.8,5708722.9,5708722.9,37.5,37.5,158.9,1
B1037,2015,114A-67,Municipal,Fire Station,Fire Station (16728.0),16728,,CAMBRIDGE CITY OF,FIRE DEPT,,163075.7,759949.9,,,,,,,,,,0,163075.7,923025.6,902440.8,55.2,53.9,1254559.3,1227576.9,75,73.4,52.9,3.2
B1038,2015,106-122,Municipal,Parking,Parking (110883.0),110884,,CAMBRIDGE CITY OF,,,494211.7,,,,,,,,,,,0,494211.7,494211.7,492680,6.2,6.1,1383792.7,1379504,17.2,17.2,37.9,0.5
B1039,2015,156-97,Municipal,K-12 School,K-12 School (69340.0),69340,,CAMBRIDGE CITY OF,SCHOOL DEPT,61,1834496.7,2584685.2,,,,,,,,,,0,1834496.7,4419182,4337973.1,63.7,62.6,7850510.4,7726337.8,113.2,111.4,277.9,4
B1040,2015,257-42,Municipal,Other - Recreation,"Other - Recreation (24321.0),Parking (4810.0)",31586,,CITY OF CAMBRIDGE,,,1808280.8,161012.9,,,,,0,,,,11995.6,40930.66658,1767350.133,2010222.7,2006069.4,82.7,82.5,5273178.8,5267181.9,216.8,216.6,147.2,6.1
B1041,2015,106-122,Municipal,Library,Library (15447.0),15447,,CAMBRIDGE CITY OF,,,242480.9,418628.8,,,,,,,,,,0,242480.9,661109.8,640433.9,42.8,41.5,1118506.9,1087306.5,72.4,70.4,40.8,2.6
B1042,2015,92-57,Municipal,Fire Station,Fire Station (19080.0),19080,,CAMBRIDGE CITY OF,FIRE DEPT,,248087.7,1070298.8,,,,,,,,,,0,248087.7,1318386.6,1277509.5,69.1,67,1818459.4,1768165.6,95.3,92.7,75.9,4
B1043,2015,119-23,Municipal,Other - Recreation,Other - Recreation (27999.0),27999,,CAMBRIDGE CITY OF,CITY HALL,,1169611.8,1792781.4,,,,,,,,,,0,1169611.8,2962393.1,2894840.8,105.8,103.4,5157333.3,5086403.4,184.2,181.7,184.9,6.6
B1044,2015,31-22,Municipal,Police Station,"Police Station (115793.0),Parking (46754.0)",162547,,CITY OF CAMBRIDGE,,,11218000,4359663.7,,,,,,,,,,0,11218000,15577663.7,15501793.2,134.5,133.9,35988047,35787763.2,310.8,309.1,1091.7,9.4
B1045,2015,269-136,Municipal,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym (12089.0),12089,,CAMBRIDGE CITY OF,,,466022,272680.6,,,,,,,,,,0,466022,738702.6,728665,61.1,60.3,1591176.2,1572787.3,131.6,130.1,50.2,4.2
B1046,2015,256-80,Municipal,K-12 School,K-12 School (53664.0),53664,,CAMBRIDGE CITY OF,SCHOOL DEPT,48,1717182.8,2513090.4,,,,,,,,,,0,1717182.8,4230273.3,4185521.2,78.8,78,7446856.9,7372438.7,138.8,137.4,265.1,4.9
B1047,2015,266-34,Municipal,Drinking Water Treatment & Distribution,Drinking Water Treatment & Distribution (155632.0),155632,,CAMBRIDGE CITY OF,,,28863224.6,8708646.8,,,,,,,,,224,764.31936,28862460.28,37572635.6,37145282.1,241.4,238.7,89961872.1,89056510.5,578,572.2,2675.5,17.2
B1048,2015,"85-1, 85-63",Municipal,Parking,"Office (9520.0),Parking (47152.0)",56672,,CITY OF CAMBRIDGE,,,,5141295.2,,,,,,,,,,0,0,5141295.2,5083872.4,540.1,534,5398360,5338066.1,567.1,560.7,273.1,28.7
B1049,2015,181-52,Municipal,Fire Station,Fire Station (11213.0),11213,,CAMBRIDGE CITY OF,,,140446.7,881605.1,,,,,,,,,,0,140446.7,1022051.9,1008804.8,91.1,90,1318936.2,1297273.1,117.6,115.7,57.6,5.1
B1050,2015,"138-2, 138-33",Municipal,Library,"Library (102752.0),Parking (17434.0)",120185,,CAMBRIDGE CITY OF,,,6427287.7,7310360.4,,,,,,,,,,0,6427287.7,13737648.1,13452166.4,133.7,130.9,25672283.9,25238903.2,249.8,245.6,881.1,8.6
B1052,2015,137-1,Municipal,Fire Station,Fire Station (30389.0),30389,,CAMBRIDGE CITY OF,FIRE STATION,,1102819,1190101.2,,,,,,,,,,0,1102819,2292920.2,2255200.9,75.5,74.2,4337499.6,4297894.3,142.7,141.4,147.8,4.9
B1053,2015,38-1,Municipal,Other - Recreation,"Other - Recreation (16132.0),Pre-school/Daycare (3927.0)",20059,,CAMBRIDGE CITY OF,,,881555.1,1074640,,,,,,,,,4139.7,14125.23596,867429.864,1970319.8,1932949.1,98.2,96.4,3610851,3552905.3,180,177.1,124.7,6.2
B1054,2015,88-11,Municipal,Other - Recreation,"Other - Recreation (13565.0),Pre-school/Daycare (5840.0)",19405,,CAMBRIDGE CITY OF,RECREATION DEPT,,610541,1634739.5,,,,,,,,,,0,610541,2245280.5,2221490.2,115.7,114.5,3425991.4,3388503.6,176.6,174.6,133.6,6.9
B1055,2015,135-2,Municipal,Vocational School,"Other - Entertainment/Public Assembly (4731.0),Vocational School (14116.0),Office (2250.0)",21097,,CAMBRIDGE CITY OF,,,481730.4,253028,,961584,,,,,,,,0,481730.4,1696342.4,1674275.4,80.4,79.4,2585724.4,2560335.6,122.6,121.4,121.7,5.8
B1056,2015,114-130,Municipal,K-12 School,K-12 School (74621.0),74621,,CAMBRIDGE CITY OF,SCHOOL DEPT,77,1060584.4,3076691.8,,,,,,,,,,0,1060584.4,4137276.2,4047638.9,55.4,54.2,6200162.7,6104973.3,83.1,81.8,244.7,3.3
B1057,2015,76-96,Municipal,K-12 School,K-12 School (83221.0),83221,,CAMBRIDGE CITY OF,SCHOOL DEPT,64,1389533.7,,,4348655.6,,,,,,,,0,1389533.7,5738189.3,5680650.7,69,68.3,8282836.5,8223804.9,99.5,98.8,429.2,5.2
B1058,2015,212-58,Municipal,K-12 School,K-12 School (78732.0),78732,,CAMBRIDGE CITY OF,SCHOOL DEPT.,80,976017.5,950686.3,,2362283.8,,,,,,,,0,976017.5,4288987.7,4109171.9,54.5,52.2,6116976.4,5934506.3,77.7,75.4,300.6,3.8
B1547,2015,74-127,Municipal,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient (20754.0),41221,,Cambridge Health Alliance,C/O Cambridge Hospital,,3536827.4,3457313,,,,,,,,,,0,3536827.4,6994140.4,6923586.2,337,333.6,13533295.4,13381353,652.1,644.8,454.8,21.9
B1548,2015,111-60,Municipal,Hospital (General Medical & Surgical),"Hospital (General Medical & Surgical) (360250.0),Parking (78813.0)",360250,,CAMBRIDGE CITY OF,,34,32528612,72949420.7,,0,,,,,,,,0,32528612,105478032.7,104866591.7,292.8,291.1,167677005.3,166695520.6,465.4,462.7,6368.7,17.7
B1679,2015,266-33,Municipal,Senior Living Community,"Senior Living Community (81000.0),Parking (15000.0)",81000,,CITY OF CAMBRIDGE,C/O NEVILLE COMMUNITIES HOME INC,,,,,,,,,,,,,0,0,,,,,,,,,0,0
B1690,2015,18-75,Municipal,Parking,"Restaurant (3215.0),Office (2035.0),Parking (391581.0),Social/Meeting Hall (7321.0)",404152,,CAMBRIDGE CITY OF,,,1529224.7,100,,,,,,,,,,0,1529224.7,1529324.7,1526860.3,121.7,121.5,4281934.3,4275033.7,340.6,340.1,117.3,9.3
B1724,2015,106-122,Municipal,Multifamily Housing,Multifamily Housing (160580.0),160580,199,Cambridge Housing Authority,,7,10827562,0,,,,,,,,,,0,10827562,10827562,10688593.3,67.4,66.6,30317173.7,29928061.4,188.8,186.4,830.2,5.2
B1823,2015,266-40,Municipal,Senior Living Community,Senior Living Community (49730.0),49730,,CITY OF CAMBRIDGE,"C/O NEVILLE COMMUNITIES HOME, INC",,,,,,,,,,,,,0,0,,,,,,,,,0,0
B1830,2015,197-4,Municipal,K-12 School,"Other - Recreation (14837.0),K-12 School (108989.0),Library (4566.0)",128392,,CAMBRIDGE CITY OF,SCHOOL DEPT,67,3467777.6,4809083.9,,,,,,,,,,0,3467777.6,8276861.5,8111945,64.5,63.2,14759315.3,14449263.3,115,112.5,521.3,4.1
B1846,2015,74-25,Municipal,,,,,CAMBRIDGE CITY OF,RECREATION DEPT,,,,,,,,,,,,,0,0,,,,,,,,,,
B1849,2015,27-82,Municipal,,,,,CITY OF CAMBRIDGE,,,,,,,,,,,,,,0,0,,,,,,,,,,
B1869,2015,260-80,Municipal,K-12 School,K-12 School (124543.0),124543,,City Of Cambridge,,46,7063151.9,2823.7,,,,,,,,,,0,7063151.9,7065975.7,6910957.7,56.7,55.5,19779790.3,19345740.2,158.8,155.3,541.7,4.3
